iter	Logloss
0	0.657772907
1	0.6293779154
2	0.6029760251
3	0.5825971446
4	0.561955278
5	0.5414031895
6	0.5296331845
7	0.5155496307
8	0.50448097
9	0.4954158929
10	0.4843372579
11	0.4757251999
12	0.4681674576
13	0.4613406076
14	0.4581013646
15	0.4497711207
16	0.4453161418
17	0.4384823417
18	0.4349443572
19	0.4291951134
20	0.4270478256
21	0.4253854854
22	0.4222336756
23	0.4184336797
24	0.4141068068
25	0.4120664289
26	0.4086934291
27	0.4057319374
28	0.402754038
29	0.4001707816
30	0.3973321374
31	0.396179024
32	0.3943191075
33	0.3932642099
34	0.3931252005
35	0.3897105592
36	0.388310787
37	0.3862210099
38	0.3846921696
39	0.3837889735
40	0.3826615366
41	0.3819920508
42	0.3809769776
43	0.3802868076
44	0.378664602
45	0.3786248822
46	0.377479938
47	0.3764934786
48	0.3756906191
49	0.3749693726
50	0.3733542379
51	0.3721467562
52	0.3714253699
53	0.370480249
54	0.3683268565
55	0.367639673
56	0.3670009208
57	0.3662013093
58	0.3658299569
59	0.3644964375
60	0.3644900781
61	0.36373758
62	0.3634630216
63	0.3629006609
64	0.3614466207
65	0.3605233879
66	0.3599106031
67	0.358711451
68	0.3582698844
69	0.3580877657
70	0.358082611
71	0.3575411867
72	0.3568777169
73	0.3564388389
74	0.3550404429
75	0.3540128678
76	0.3536900773
77	0.3530580519
78	0.3530532708
79	0.3525755679
80	0.3523970432
81	0.3519965149
82	0.3513736217
83	0.3505877827
84	0.3494457569
85	0.3487295347
86	0.3474968899
87	0.3474968893
88	0.3472265468
89	0.3469150243
90	0.3468523481
91	0.3461470447
92	0.3454604403
93	0.3452125856
94	0.3441927506
95	0.3437291041
96	0.3434208094
97	0.3427414251
98	0.3424300396
99	0.3416882667
100	0.3407429737
101	0.3393998814
102	0.3392194401
103	0.3389231498
104	0.3385457973
105	0.3383950882
106	0.338104413
107	0.3374537006
108	0.3368692763
109	0.3368676619
110	0.3360013048
111	0.3348526595
112	0.3344057953
113	0.3342939258
114	0.3331908563
115	0.3328731434
116	0.3323142831
117	0.3323142762
118	0.3320260843
119	0.3320112164
120	0.3314710056
